u_id,q_id,student_key_stage,question_difficulty,subject,topic,question,correct_answer,student_answer,rater_1,rater_2,rater_3,human_agree,ground_truth,fewshot-gpt-3.5-turbo-0125,fewshot-gpt-4-0125-preview,zeroshot-gpt-3.5-turbo-0125,zeroshot-gpt-4-0125-preview,agree_fewshot-gpt-4-0125-preview
1,ScKS4H1,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,im not sure,wrong,wrong,wrong,1,0,0,0,0,0,1
2,ScKS4H2,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The forward reaction will increase so the amount of product can increase again to meet equilibrium.,right,right,right,1,1,1,1,1,1,1
3,ScKS4H3,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,Shift to left t,wrong,wrong,wrong,1,0,0,0,0,0,1
4,ScKS4H4,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,Forward reaction will increase to increase the concentration of products,right,right,right,1,1,1,1,1,1,1
5,ScKS4H5,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The forward reaction would increase so that more product could be formed,right,right,right,1,1,1,1,1,1,1
6,ScKS4H6,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The reactants will seek to counteract this by producing more product to form a balance.,wrong,wrong,wrong,1,0,0,1,0,1,0
7,ScKS4H7,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,forward reaction will increase as that will increase the amount of product,right,right,right,1,1,1,1,1,1,1
8,ScKS4H8,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,forward reaction will increase as that will increase the amount of product,right,right,right,1,1,1,1,1,1,1
9,ScKS4H9,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,backward reaction will increase as it is endothermic and will reduce the temperature,wrong,wrong,wrong,1,0,0,0,0,0,1
10,ScKS4H10,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,it will shift to the right,wrong,wrong,wrong,1,0,0,0,0,0,1
11,ScKS4H11,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The foward reaction will increase as that will increase the amount of product,right,right,right,1,1,1,1,1,1,1
12,ScKS4H12,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,The equilibrium shifts to the left and reacts more product to become reactant,wrong,wrong,wrong,1,0,0,0,0,0,1
13,ScKS4H13,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,Equilibrium will shift towards the exothermic reaciton,wrong,wrong,wrong,1,0,0,0,0,0,1
14,ScKS4H14,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,Forward reaction will increase and product increases aswell,right,right,right,1,1,0,1,0,1,0
15,ScKS4H15,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,more product will be formed to counter act change,right,wrong,right,0,1,0,1,0,1,0
16,ScKS4H16,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,equilbirium will shift to the products side to increase the product again,right,right,right,1,1,0,1,1,1,0
17,ScKS4H17,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,the forward reaction will increase until equilibrium is reached,right,wrong,right,0,1,1,1,0,1,1
18,ScKS4H18,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,the reaction will move forward,wrong,wrong,wrong,1,0,0,1,0,1,0
19,ScKS4H19,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,the equilibrium will shift,wrong,wrong,wrong,1,0,0,0,0,0,1
20,ScKS4H20,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,Forward r̩action will increase as the amount of product will increase,right,right,right,1,1,0,1,0,1,0
21,ScKS4H21,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,A faster forward reaction more products are produced,right,right,right,1,1,0,1,0,1,0
22,ScKS4H22,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,more product will be made as the reaction goes forward (does the opposite),right,right,right,1,1,0,1,0,1,0
23,ScKS4H23,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,"increase
",wrong,wrong,wrong,1,0,0,0,0,0,1
24,ScKS4H24,KS4,hard,science,Reversible Reactions,A reaction is at equilibrium when some product is removed. What will occur?,The forward reaction will increase as that will increase the amount of product,favours side with fewser molecules,wrong,wrong,wrong,1,0,0,0,0,0,1
